question_id,strategy,question_type,expected_doc,top1_doc,top1_score,hit_at_k,grounding,certification_flag,answer
q01,fixed,in_scope,site_safety_general.md,site_safety_general.md,0.5437,1,strong,0,
q02,fixed,in_scope,working_at_height.md,hse_012.md,0.6584,0,strong,0,
q03,fixed,in_scope,working_at_height.md,working_at_height.md,0.6442,1,strong,0,
q04,fixed,in_scope,concrete_works.md,concrete_works.md,0.7134,1,strong,0,
q05,fixed,in_scope,concrete_works.md,concrete_works.md,0.4939,1,moderate,0,
q06,fixed,in_scope,electrical_safety.md,electrical_safety.md,0.7353,1,strong,0,
q07,fixed,in_scope,electrical_safety.md,electrical_safety.md,0.4736,1,moderate,0,
q08,fixed,in_scope,fire_safety_hot_works.md,fire_safety_hot_works.md,0.6732,1,strong,0,
q09,fixed,in_scope,excavation_groundworks.md,excavation_groundworks.md,0.5847,1,strong,0,
q10,fixed,in_scope,excavation_groundworks.md,excavation_groundworks.md,0.5487,1,strong,0,
q11,fixed,certification,working_at_height.md,hse_017.md,0.6860,0,strong,1,
q12,fixed,certification,fire_safety_hot_works.md,hse_023.md,0.6431,1,strong,1,
q13,fixed,certification,concrete_works.md,concrete_works.md,0.5233,1,strong,1,
q14,fixed,out_of_scope,,concrete_works.md,0.1655,0,weak,0,
q15,fixed,out_of_scope,,hse_022.md,0.1931,0,weak,0,
q16,fixed,in_scope,hse_012.md,working_at_height.md,0.6491,1,strong,0,
q17,fixed,in_scope,hse_012.md,hse_012.md,0.6372,1,strong,0,
q18,fixed,in_scope,hse_011.md,working_at_height.md,0.6584,1,strong,0,
q19,fixed,in_scope,hse_022.md,hse_022.md,0.7820,1,strong,0,
q20,fixed,in_scope,hse_022.md,hse_022.md,0.5894,1,strong,0,
q21,fixed,in_scope,hse_028.md,hse_028.md,0.5676,1,strong,0,
q22,fixed,in_scope,hse_028.md,excavation_groundworks.md,0.5722,1,strong,0,
q23,fixed,in_scope,hse_029.md,hse_029.md,0.4962,1,moderate,0,
q24,fixed,in_scope,hse_029.md,hse_029.md,0.6410,1,strong,0,
q25,fixed,in_scope,hse_026.md,hse_026.md,0.6790,1,strong,0,
q26,fixed,in_scope,hse_025.md,hse_025.md,0.5449,1,strong,0,
q27,fixed,in_scope,hse_019.md,electrical_safety.md,0.7476,1,strong,0,
q28,fixed,in_scope,hse_034.md,hse_034.md,0.8501,1,strong,0,
q29,fixed,in_scope,hse_036.md,hse_036.md,0.7072,1,strong,0,
q30,fixed,in_scope,hse_036.md,hse_036.md,0.6266,1,strong,0,
q31,fixed,in_scope,hse_038.md,hse_038.md,0.6619,1,strong,0,
q32,fixed,in_scope,hse_039.md,hse_039.md,0.8124,1,strong,0,
q33,fixed,in_scope,hse_040.md,hse_040.md,0.5611,1,strong,0,
q34,fixed,in_scope,hse_002.md,hse_002.md,0.7068,1,strong,0,
q35,fixed,in_scope,hse_030.md,hse_030.md,0.7654,1,strong,0,
q36,fixed,certification,hse_029.md,hse_029.md,0.5464,1,strong,1,
q37,fixed,certification,hse_022.md,hse_022.md,0.6272,1,strong,1,
q38,fixed,out_of_scope,,hse_005.md,0.4962,0,moderate,0,
q39,fixed,out_of_scope,,hse_012.md,0.1059,0,weak,0,
q40,fixed,out_of_scope,,hse_035.md,0.1405,0,weak,0,
